ase_id,chr,strand,out_donor,out_acceptor,in_junction
1@+@1485838^1486110-@1485837^1485839-1486110^1486112-,1,+,1485838^,1486110-,1485837^1485839-1486110^1486112-
1@-@3948863^3948595-@3948865^3948863-3948596^3948594-,1,-,3948863^,3948595-,3948865^3948863-3948596^3948594-
1@+@4593190^4593700-@4593189^4593191-4593700^4593702-,1,+,4593190^,4593700-,4593189^4593191-4593700^4593702-
1@+@15727068^15727192-@15727067^15727069-15727192^15727194-,1,+,15727068^,15727192-,15727067^15727069-15727192^15727194-
1@-@18872804^18871790-@18872806^18872804-18871791^18871789-,1,-,18872804^,18871790-,18872806^18872804-18871791^18871789-
1@+@12348973^12349164-@12348972^12348974-12349164^12349166-,1,+,12348973^,12349164-,12348972^12348974-12349164^12349166-
1@+@16449201^16451838-@16449200^16449202-16451838^16451840-,1,+,16449201^,16451838-,16449200^16449202-16451838^16451840-
1@+@16459062^16459274-@16459061^16459063-16459274^16459276-,1,+,16459062^,16459274-,16459061^16459063-16459274^16459276-
1@+@28497271^28499420-@28497270^28497272-28499420^28499422-,1,+,28497271^,28499420-,28497270^28497272-28499420^28499422-
1@+@26188307^26188442-@26188306^26188308-26188442^26188444-,1,+,26188307^,26188442-,26188306^26188308-26188442^26188444-
1@+@25563791^25565173-@25563790^25563792-25565173^25565175-,1,+,25563791^,25565173-,25563790^25563792-25565173^25565175-
1@+@26170480^26170575-@26170479^26170481-26170575^26170577-,1,+,26170480^,26170575-,26170479^26170481-26170575^26170577-
1@+@15060302^15063572-@15060301^15060303-15063572^15063574-,1,+,15060302^,15063572-,15060301^15060303-15063572^15063574-
1@-@38874778^38873909-@38874780^38874778-38873910^38873908-,1,-,38874778^,38873909-,38874780^38874778-38873910^38873908-
1@+@36303831^36304474-@36303830^36303832-36304474^36304476-,1,+,36303831^,36304474-,36303830^36303832-36304474^36304476-
1@+@43305165^43305233-@43305164^43305166-43305233^43305235-,1,+,43305165^,43305233-,43305164^43305166-43305233^43305235-
1@-@52906519^52905090-@52906521^52906519-52905091^52905089-,1,-,52906519^,52905090-,52906521^52906519-52905091^52905089-
1@-@52899174^52897484-@52899176^52899174-52897485^52897483-,1,-,52899174^,52897484-,52899176^52899174-52897485^52897483-
1@-@59133231^59132746-@59133233^59133231-59132747^59132745-,1,-,59133231^,59132746-,59133233^59133231-59132747^59132745-
1@+@38475477^38475621-@38475476^38475478-38475621^38475623-,1,+,38475477^,38475621-,38475476^38475478-38475621^38475623-
1@+@38476255^38476387-@38476254^38476256-38476387^38476389-,1,+,38476255^,38476387-,38476254^38476256-38476387^38476389-
1@+@44129560^44130034-@44129559^44129561-44130034^44130036-,1,+,44129560^,44130034-,44129559^44129561-44130034^44130036-
1@-@53275631^53271346-@53275633^53275631-53271347^53271345-,1,-,53275631^,53271346-,53275633^53275631-53271347^53271345-
1@-@53275631^53271415-@53275633^53275631-53271416^53271414-,1,-,53275631^,53271415-,53275633^53275631-53271416^53271414-
1@-@53257240^53255185-@53257242^53257240-53255186^53255184-,1,-,53257240^,53255185-,53257242^53257240-53255186^53255184-
1@-@53246924^53245981-@53246926^53246924-53245982^53245980-,1,-,53246924^,53245981-,53246926^53246924-53245982^53245980-
1@-@53246956^53245981-@53246958^53246956-53245982^53245980-,1,-,53246956^,53245981-,53246958^53246956-53245982^53245980-
1@-@53246918^53245981-@53246920^53246918-53245982^53245980-,1,-,53246918^,53245981-,53246920^53246918-53245982^53245980-
1@+@63568519^63571021-@63568518^63568520-63571021^63571023-,1,+,63568519^,63571021-,63568518^63568520-63571021^63571023-
1@-@85708054^85707936-@85708056^85708054-85707937^85707935-,1,-,85708054^,85707936-,85708056^85708054-85707937^85707935-
1@+@46405794^46406038-@46405793^46405795-46406038^46406040-,1,+,46405794^,46406038-,46405793^46405795-46406038^46406040-
1@+@43620221^43620454-@43620220^43620222-43620454^43620456-,1,+,43620221^,43620454-,43620220^43620222-43620454^43620456-
1@+@54731549^54731655-@54731548^54731550-54731655^54731657-,1,+,54731549^,54731655-,54731548^54731550-54731655^54731657-
1@-@77580998^77579628-@77581000^77580998-77579629^77579627-,1,-,77580998^,77579628-,77581000^77580998-77579629^77579627-
1@+@100078548^100080496-@100078547^100078549-100080496^100080498-,1,+,100078548^,100080496-,100078547^100078549-100080496^100080498-
1@+@44213662^44213749-@44213661^44213663-44213749^44213751-,1,+,44213662^,44213749-,44213661^44213663-44213749^44213751-
1@+@95992122^95992403-@95992121^95992123-95992403^95992405-,1,+,95992122^,95992403-,95992121^95992123-95992403^95992405-
1@+@95992238^95992403-@95992237^95992239-95992403^95992405-,1,+,95992238^,95992403-,95992237^95992239-95992403^95992405-
1@+@95992238^95992403-@95992237^95992239-95992403^95992405-,1,+,95992238^,95992403-,95992237^95992239-95992403^95992405-
1@+@95992238^95992403-@95992237^95992239-95992403^95992405-,1,+,95992238^,95992403-,95992237^95992239-95992403^95992405-
1@+@113980617^113980949-@113980616^113980618-113980949^113980951-,1,+,113980617^,113980949-,113980616^113980618-113980949^113980951-
1@+@43427734^43428003-@43427733^43427735-43428003^43428005-,1,+,43427734^,43428003-,43427733^43427735-43428003^43428005-
1@+@43433190^43434386-@43433189^43433191-43434386^43434388-,1,+,43433190^,43434386-,43433189^43433191-43434386^43434388-
1@+@43447971^43448079-@43447970^43447972-43448079^43448081-,1,+,43447971^,43448079-,43447970^43447972-43448079^43448081-
1@+@43448728^43450103-@43448727^43448729-43450103^43450105-,1,+,43448728^,43450103-,43448727^43448729-43450103^43450105-
1@+@111348646^111350106-@111348645^111348647-111350106^111350108-,1,+,111348646^,111350106-,111348645^111348647-111350106^111350108-
1@+@103525930^103526067-@103525929^103525931-103526067^103526069-,1,+,103525930^,103526067-,103525929^103525931-103526067^103526069-
1@-@114397940^114397860-@114397942^114397940-114397861^114397859-,1,-,114397940^,114397860-,114397942^114397940-114397861^114397859-
1@-@68489570^68489485-@68489572^68489570-68489486^68489484-,1,-,68489570^,68489485-,68489572^68489570-68489486^68489484-
1@+@109923711^109924060-@109923710^109923712-109924060^109924062-,1,+,109923711^,109924060-,109923710^109923712-109924060^109924062-
1@+@148162992^148163757-@148162991^148162993-148163757^148163759-,1,+,148162992^,148163757-,148162991^148162993-148163757^148163759-
1@+@148162992^148163792-@148162991^148162993-148163792^148163794-,1,+,148162992^,148163792-,148162991^148162993-148163792^148163794-
1@-@153663215^153663133-@153663217^153663215-153663134^153663132-,1,-,153663215^,153663133-,153663217^153663215-153663134^153663132-
1@-@186343326^186341389-@186343328^186343326-186341390^186341388-,1,-,186343326^,186341389-,186343328^186343326-186341390^186341388-
1@+@111314596^111317681-@111314595^111314597-111317681^111317683-,1,+,111314596^,111317681-,111314595^111314597-111317681^111317683-
1@-@238486005^238485896-@238486007^238486005-238485897^238485895-,1,-,238486005^,238485896-,238486007^238486005-238485897^238485895-
1@+@214332192^214334200-@214332191^214332193-214334200^214334202-,1,+,214332192^,214334200-,214332191^214332193-214334200^214334202-
1@+@214331070^214332018-@214331069^214331071-214332018^214332020-,1,+,214331070^,214332018-,214331069^214331071-214332018^214332020-
1@+@204141476^204141565-@204141475^204141477-204141565^204141567-,1,+,204141476^,204141565-,204141475^204141477-204141565^204141567-
1@+@246634010^246634473-@246634009^246634011-246634473^246634475-,1,+,246634010^,246634473-,246634009^246634011-246634473^246634475-
1@-@205915361^205915183-@205915363^205915361-205915184^205915182-,1,-,205915361^,205915183-,205915363^205915361-205915184^205915182-
1@-@204037461^204037084-@204037463^204037461-204037085^204037083-,1,-,204037461^,204037084-,204037463^204037461-204037085^204037083-
1@+@246790846^246792057-@246790845^246790847-246792057^246792059-,1,+,246790846^,246792057-,246790845^246790847-246792057^246792059-
1@+@246791195^246792057-@246791194^246791196-246792057^246792059-,1,+,246791195^,246792057-,246791194^246791196-246792057^246792059-
1@+@182883216^182883320-@182883215^182883217-182883320^182883322-,1,+,182883216^,182883320-,182883215^182883217-182883320^182883322-
1@+@171341493^171341945-@171341492^171341494-171341945^171341947-,1,+,171341493^,171341945-,171341492^171341494-171341945^171341947-
1@+@171282333^171283144-@171282332^171282334-171283144^171283146-,1,+,171282333^,171283144-,171282332^171282334-171283144^171283146-
1@+@212615060^212615148-@212615059^212615061-212615148^212615150-,1,+,212615060^,212615148-,212615059^212615061-212615148^212615150-
1@+@212615045^212615152-@212615044^212615046-212615152^212615154-,1,+,212615045^,212615152-,212615044^212615046-212615152^212615154-
