ase_id,chr,strand,out_donor,out_acceptor,in_junction
1@-@2408456^2406895-@2408452^2406895-,1,-,2408456^,2406895-,2408452^2406895-
1@-@2410371^2408858-@2410261^2408858-,1,-,2410371^,2408858-,2410261^2408858-
1@+@2502409^2503617-@2502910^2503617-,1,+,2502409^,2503617-,2502910^2503617-
1@-@2609394^2603973-@2609339^2607069-2606974^2606366-2606248^2605623-2605558^2604281-2604147^2603973-,1,-,2609394^,2603973-,2609339^2607069-2606974^2606366-2606248^2605623-2605558^2604281-2604147^2603973-
1@+@11826214^11827089-@11826224^11827089-,1,+,11826214^,11827089-,11826224^11827089-
1@+@16440775^16443632-@16440853^16443632-,1,+,16440775^,16443632-,16440853^16443632-
1@+@16447942^16448060-@16447974^16448060-,1,+,16447942^,16448060-,16447974^16448060-
1@+@28457855^28459085-@28457859^28459085-,1,+,28457855^,28459085-,28457859^28459085-
1@+@26183414^26183729-@26183435^26183729-,1,+,26183414^,26183729-,26183435^26183729-
1@+@31414064^31423693-@31414777^31415873-31415907^31423693-,1,+,31414064^,31423693-,31414777^31415873-31415907^31423693-
1@+@15566180^15567099-@15566299^15567099-,1,+,15566180^,15567099-,15566299^15567099-
1@+@15566180^15567099-@15566410^15567099-,1,+,15566180^,15567099-,15566410^15567099-
1@+@15566299^15567099-@15566410^15567099-,1,+,15566299^,15567099-,15566410^15567099-
1@-@14391459^14351025-@14391445^14390744-14390686^14351025-,1,-,14391459^,14351025-,14391445^14390744-14390686^14351025-
1@+@20069032^20070294-@20069034^20070294-,1,+,20069032^,20070294-,20069034^20070294-
1@+@20088901^20089789-@20088943^20089789-,1,+,20088901^,20089789-,20088943^20089789-
1@+@29311544^29311643-@29311553^29311643-,1,+,29311544^,29311643-,29311553^29311643-
1@+@17718720^17721680-@17718791^17721680-,1,+,17718720^,17721680-,17718791^17721680-
1@-@15518250^15507907-@15518110^15507907-,1,-,15518250^,15507907-,15518110^15507907-
1@+@46309127^46310155-@46309143^46310155-,1,+,46309127^,46310155-,46309143^46310155-
1@-@37718378^37715997-@37718376^37715997-,1,-,37718378^,37715997-,37718376^37715997-
1@-@37931913^37891454-@37931673^37891454-,1,-,37931913^,37891454-,37931673^37891454-
1@+@43152931^43156206-@43152979^43156206-,1,+,43152931^,43156206-,43152979^43156206-
1@-@52899174^52896597-@52897437^52896597-,1,-,52899174^,52896597-,52897437^52896597-
1@-@54979989^54979643-@54979840^54979643-,1,-,54979989^,54979643-,54979840^54979643-
1@-@50280085^50266589-@50280035^50266589-,1,-,50280085^,50266589-,50280035^50266589-
1@+@51669512^51714003-@51669814^51714003-,1,+,51669512^,51714003-,51669814^51714003-
1@-@59133256^59132746-@59133231^59132746-,1,-,59133256^,59132746-,59133231^59132746-
1@+@38513937^38516100-@38514011^38516100-,1,+,38513937^,38516100-,38514011^38516100-
1@-@37629889^37616675-@37629568^37616675-,1,-,37629889^,37616675-,37629568^37616675-
1@+@53211250^53212781-@53211319^53212781-,1,+,53211250^,53212781-,53211319^53212781-
1@+@53211319^53213264-@53211369^53213264-,1,+,53211319^,53213264-,53211369^53213264-
1@+@53211250^53213264-@53211369^53213264-,1,+,53211250^,53213264-,53211369^53213264-
1@+@53211250^53213264-@53211319^53213264-,1,+,53211250^,53213264-,53211319^53213264-
1@+@53211250^53213264-@53211319^53212781-53212816^53213264-,1,+,53211250^,53213264-,53211319^53212781-53212816^53213264-
1@+@69192586^69208311-@69192610^69208311-,1,+,69192586^,69208311-,69192610^69208311-
1@-@53275631^53271153-@53271227^53271153-,1,-,53275631^,53271153-,53271227^53271153-
1@-@53275655^53266647-@53271227^53271153-53271028^53266647-,1,-,53275655^,53266647-,53271227^53271153-53271028^53266647-
1@-@53275655^53266647-@53275631^53271153-53271028^53266647-,1,-,53275655^,53266647-,53275631^53271153-53271028^53266647-
1@-@53275655^53266647-@53275631^53271346-53271227^53266647-,1,-,53275655^,53266647-,53275631^53271346-53271227^53266647-
